LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0109300000000	01	093	Marion County, AL	2005	NA	13536	12929	607	4.5
CN0109500000000	01	095	Marshall County, AL	2005	NA	41954	40314	1640	3.9
CN0109700000000	01	097	Mobile County, AL	2005	NA	180384	171439	8945	5
CN0109900000000	01	099	Monroe County, AL	2005	NA	9587	8996	591	6.2
CN0110100000000	01	101	Montgomery County, AL	2005	NA	105148	100336	4812	4.6
CN0110300000000	01	103	Morgan County, AL	2005	NA	55700	53187	2513	4.5
CN0110500000000	01	105	Perry County, AL	2005	NA	3537	3215	322	9.1
CN0110700000000	01	107	Pickens County, AL	2005	NA	7960	7527	433	5.4
CN0110900000000	01	109	Pike County, AL	2005	NA	15013	14401	612	4.1
CN0111100000000	01	111	Randolph County, AL	2005	NA	9823	9218	605	6.2
CN0111300000000	01	113	Russell County, AL	2005	NA	21501	20203	1298	6
CN0111500000000	01	115	St. Clair County, AL	2005	NA	33750	32407	1343	4
CN0111700000000	01	117	Shelby County, AL	2005	NA	94699	91783	2916	3.1
CN0111900000000	01	119	Sumter County, AL	2005	NA	4865	4512	353	7.3
CN0112100000000	01	121	Talladega County, AL	2005	NA	39684	37777	1907	4.8
CN0112300000000	01	123	Tallapoosa County, AL	2005	NA	18587	17748	839	4.5
CN0112500000000	01	125	Tuscaloosa County, AL	2005	NA	84810	81638	3172	3.7
CN0112700000000	01	127	Walker County, AL	2005	NA	29772	28455	1317	4.4
CN0112900000000	01	129	Washington County, AL	2005	NA	6887	6458	429	6.2
CN0113100000000	01	131	Wilcox County, AL	2005	NA	3626	3290	336	9.3
CN0113300000000	01	133	Winston County, AL	2005	NA	10365	9840	525	5.1
CN0201300000000	02	013	Aleutians East Borough, AK	2005	NA	1077	974	103	9.6
CN0201600000000	02	016	Aleutians West Census Area, AK	2005	NA	3143	2963	180	5.7
CN0202000000000	02	020	Anchorage Borough/municipality, AK	2005	NA	149028	140840	8188	5.5
CN0205000000000	02	050	Bethel Census Area, AK	2005	NA	7089	6182	907	12.8
CN0206000000000	02	060	Bristol Bay Borough, AK	2005	NA	971	914	57	5.9
CN0206800000000	02	068	Denali Borough, AK	2005	NA	1590	1486	104	6.5
CN0207000000000	02	070	Dillingham Census Area, AK	2005	NA	2062	1842	220	10.7
CN0209000000000	02	090	Fairbanks North Star Borough, AK	2005	NA	45247	42606	2641	5.8
CN0210000000000	02	100	Haines Borough, AK	2005	NA	1472	1340	132	9
CN0211000000000	02	110	Juneau Borough/city, AK	2005	NA	18349	17370	979	5.3
CN0212200000000	02	122	Kenai Peninsula Borough, AK	2005	NA	25321	23105	2216	8.8
CN0213000000000	02	130	Ketchikan Gateway Borough, AK	2005	NA	7966	7430	536	6.7
CN0215000000000	02	150	Kodiak Island Borough, AK	2005	NA	6056	5556	500	8.3
CN0215800000000	02	158	Kusilvak Census Area, AK	2005	NA	2542	2011	531	20.9
CN0216400000000	02	164	Lake and Peninsula Borough, AK	2005	NA	1040	964	76	7.3
CN0217000000000	02	170	Matanuska-Susitna Borough, AK	2005	NA	36728	33928	2800	7.6
CN0218000000000	02	180	Nome Census Area, AK	2005	NA	3979	3486	493	12.4
CN0218500000000	02	185	North Slope Borough, AK	2005	NA	3719	3384	335	9
CN0218800000000	02	188	Northwest Arctic Borough, AK	2005	NA	3062	2698	364	11.9
CN0220100000000	02	201	Prince of Wales-Outer Ketchikan Census Area, AK	2005	NA	2568	2232	336	13.1
CN0222000000000	02	220	Sitka Borough/city, AK	2005	NA	4745	4481	264	5.6
CN0223200000000	02	232	Skagway-Hoonah-Angoon Census Area, AK	2005	NA	1846	1601	245	13.3
CN0224000000000	02	240	Southeast Fairbanks Census Area, AK	2005	NA	3310	2963	347	10.5
CN0226100000000	02	261	Valdez-Cordova Census Area, AK	2005	NA	5264	4764	500	9.5
CN0228000000000	02	280	Wrangell-Petersburg Census Area, AK	2005	NA	2931	2635	296	10.1
CN0228200000000	02	282	Yakutat Borough/city, AK	2005	NA	320	286	34	10.6
CN0229000000000	02	290	Yukon-Koyukuk Census Area, AK	2005	NA	3139	2772	367	11.7
CN0400100000000	04	001	Apache County, AZ	2005	NA	20054	17952	2102	10.5
CN0400300000000	04	003	Cochise County, AZ	2005	NA	55774	53097	2677	4.8
CN0400500000000	04	005	Coconino County, AZ	2005	NA	67883	64549	3334	4.9
CN0400700000000	04	007	Gila County, AZ	2005	NA	20667	19446	1221	5.9
CN0400900000000	04	009	Graham County, AZ	2005	NA	12261	11525	736	6
CN0401100000000	04	011	Greenlee County, AZ	2005	NA	3493	3324	169	4.8
CN0401200000000	04	012	La Paz County, AZ	2005	NA	7703	7181	522	6.8
CN0401300000000	04	013	Maricopa County, AZ	2005	NA	1856076	1780954	75122	4
CN0401500000000	04	015	Mohave County, AZ	2005	NA	89079	85271	3808	4.3
CN0401700000000	04	017	Navajo County, AZ	2005	NA	37680	34646	3034	8.1
CN0401900000000	04	019	Pima County, AZ	2005	NA	441581	421815	19766	4.5
CN0402100000000	04	021	Pinal County, AZ	2005	NA	87422	82541	4881	5.6
CN0402300000000	04	023	Santa Cruz County, AZ	2005	NA	16043	14663	1380	8.6
CN0402500000000	04	025	Yavapai County, AZ	2005	NA	91442	87403	4039	4.4
CN0402700000000	04	027	Yuma County, AZ	2005	NA	76067	64004	12063	15.9
CN0500100000000	05	001	Arkansas County, AR	2005	NA	11321	10525	796	7
CN0500300000000	05	003	Ashley County, AR	2005	NA	9646	8844	802	8.3
CN0500500000000	05	005	Baxter County, AR	2005	NA	17214	16254	960	5.6
CN0500700000000	05	007	Benton County, AR	2005	NA	100203	96959	3244	3.2
CN0500900000000	05	009	Boone County, AR	2005	NA	16729	15875	854	5.1
CN0501100000000	05	011	Bradley County, AR	2005	NA	5507	5074	433	7.9
CN0501300000000	05	013	Calhoun County, AR	2005	NA	2686	2502	184	6.9
CN0501500000000	05	015	Carroll County, AR	2005	NA	13545	12929	616	4.5
CN0501700000000	05	017	Chicot County, AR	2005	NA	4892	4403	489	10
CN0501900000000	05	019	Clark County, AR	2005	NA	11051	10375	676	6.1
CN0502100000000	05	021	Clay County, AR	2005	NA	7091	6497	594	8.4
CN0502300000000	05	023	Cleburne County, AR	2005	NA	11633	11063	570	4.9
CN0502500000000	05	025	Cleveland County, AR	2005	NA	4273	4023	250	5.9
CN0502700000000	05	027	Columbia County, AR	2005	NA	11089	10385	704	6.3
CN0502900000000	05	029	Conway County, AR	2005	NA	9660	9164	496	5.1
CN0503100000000	05	031	Craighead County, AR	2005	NA	45084	42935	2149	4.8
CN0503300000000	05	033	Crawford County, AR	2005	NA	27438	26244	1194	4.4
CN0503500000000	05	035	Crittenden County, AR	2005	NA	22513	21044	1469	6.5
CN0503700000000	05	037	Cross County, AR	2005	NA	8502	7856	646	7.6
CN0503900000000	05	039	Dallas County, AR	2005	NA	3868	3597	271	7
CN0504100000000	05	041	Desha County, AR	2005	NA	6089	5561	528	8.7
CN0504300000000	05	043	Drew County, AR	2005	NA	8680	7944	736	8.5
CN0504500000000	05	045	Faulkner County, AR	2005	NA	52018	49704	2314	4.4
CN0504700000000	05	047	Franklin County, AR	2005	NA	8521	8156	365	4.3
CN0504900000000	05	049	Fulton County, AR	2005	NA	5096	4825	271	5.3
CN0505100000000	05	051	Garland County, AR	2005	NA	41936	39562	2374	5.7
CN0505300000000	05	053	Grant County, AR	2005	NA	8663	8242	421	4.9
CN0505500000000	05	055	Greene County, AR	2005	NA	18769	17679	1090	5.8
CN0505700000000	05	057	Hempstead County, AR	2005	NA	10907	10278	629	5.8
CN0505900000000	05	059	Hot Spring County, AR	2005	NA	15158	14358	800	5.3
CN0506100000000	05	061	Howard County, AR	2005	NA	6252	5905	347	5.6
CN0506300000000	05	063	Independence County, AR	2005	NA	17860	16770	1090	6.1
CN0506500000000	05	065	Izard County, AR	2005	NA	5254	4917	337	6.4
CN0506700000000	05	067	Jackson County, AR	2005	NA	7797	7148	649	8.3
CN0506900000000	05	069	Jefferson County, AR	2005	NA	37037	34229	2808	7.6
CN0507100000000	05	071	Johnson County, AR	2005	NA	10992	10455	537	4.9
CN0507300000000	05	073	Lafayette County, AR	2005	NA	3218	2979	239	7.4
CN0507500000000	05	075	Lawrence County, AR	2005	NA	7517	6955	562	7.5
CN0507700000000	05	077	Lee County, AR	2005	NA	3410	3051	359	10.5
CN0507900000000	05	079	Lincoln County, AR	2005	NA	5251	4854	397	7.6
CN0508100000000	05	081	Little River County, AR	2005	NA	6529	6223	306	4.7
CN0508300000000	05	083	Logan County, AR	2005	NA	10076	9580	496	4.9
CN0508500000000	05	085	Lonoke County, AR	2005	NA	30788	29414	1374	4.5
CN0508700000000	05	087	Madison County, AR	2005	NA	7835	7544	291	3.7
CN0508900000000	05	089	Marion County, AR	2005	NA	6801	6450	351	5.2
CN0509100000000	05	091	Miller County, AR	2005	NA	19724	18778	946	4.8
CN0509300000000	05	093	Mississippi County, AR	2005	NA	20201	18456	1745	8.6
CN0509500000000	05	095	Monroe County, AR	2005	NA	3864	3607	257	6.7
CN0509700000000	05	097	Montgomery County, AR	2005	NA	4343	4130	213	4.9
CN0509900000000	05	099	Nevada County, AR	2005	NA	4396	4142	254	5.8
CN0510100000000	05	101	Newton County, AR	2005	NA	3598	3415	183	5.1
CN0510300000000	05	103	Ouachita County, AR	2005	NA	12590	11705	885	7
CN0510500000000	05	105	Perry County, AR	2005	NA	4966	4712	254	5.1
CN0510700000000	05	107	Phillips County, AR	2005	NA	8837	8033	804	9.1
CN0510900000000	05	109	Pike County, AR	2005	NA	5156	4907	249	4.8
CN0511100000000	05	111	Poinsett County, AR	2005	NA	11483	10722	761	6.6
CN0511300000000	05	113	Polk County, AR	2005	NA	8701	8264	437	5
CN0511500000000	05	115	Pope County, AR	2005	NA	29572	28246	1326	4.5
CN0511700000000	05	117	Prairie County, AR	2005	NA	4310	4053	257	6
CN0511900000000	05	119	Pulaski County, AR	2005	NA	190594	181400	9194	4.8
CN0512100000000	05	121	Randolph County, AR	2005	NA	7872	7256	616	7.8
CN0512300000000	05	123	St. Francis County, AR	2005	NA	10805	9882	923	8.5
CN0512500000000	05	125	Saline County, AR	2005	NA	47337	45291	2046	4.3
CN0512700000000	05	127	Scott County, AR	2005	NA	4688	4476	212	4.5
CN0512900000000	05	129	Searcy County, AR	2005	NA	3422	3251	171	5
CN0513100000000	05	131	Sebastian County, AR	2005	NA	59664	57117	2547	4.3
CN0513300000000	05	133	Sevier County, AR	2005	NA	7655	7330	325	4.2
CN0513500000000	05	135	Sharp County, AR	2005	NA	6565	6092	473	7.2
CN0513700000000	05	137	Stone County, AR	2005	NA	4514	4220	294	6.5
CN0513900000000	05	139	Union County, AR	2005	NA	20130	18747	1383	6.9
CN0514100000000	05	141	Van Buren County, AR	2005	NA	7018	6585	433	6.2
CN0514300000000	05	143	Washington County, AR	2005	NA	100890	97492	3398	3.4
CN0514500000000	05	145	White County, AR	2005	NA	32508	30453	2055	6.3
CN0514700000000	05	147	Woodruff County, AR	2005	NA	3462	3145	317	9.2
CN0514900000000	05	149	Yell County, AR	2005	NA	10659	10213	446	4.2
CN0600100000000	06	001	Alameda County, CA	2005	NA	734258	696792	37466	5.1
CN0600300000000	06	003	Alpine County, CA	2005	NA	526	484	42	8
CN0600500000000	06	005	Amador County, CA	2005	NA	17199	16237	962	5.6
CN0600700000000	06	007	Butte County, CA	2005	NA	98309	91677	6632	6.7
CN0600900000000	06	009	Calaveras County, CA	2005	NA	20528	19247	1281	6.2
CN0601100000000	06	011	Colusa County, CA	2005	NA	9880	8627	1253	12.7
CN0601300000000	06	013	Contra Costa County, CA	2005	NA	509864	485198	24666	4.8
CN0601500000000	06	015	Del Norte County, CA	2005	NA	10736	9940	796	7.4
CN0601700000000	06	017	El Dorado County, CA	2005	NA	91050	86697	4353	4.8
CN0601900000000	06	019	Fresno County, CA	2005	NA	407163	370589	36574	9
CN0602100000000	06	021	Glenn County, CA	2005	NA	11535	10565	970	8.4
CN0602300000000	06	023	Humboldt County, CA	2005	NA	59523	55891	3632	6.1
CN0602500000000	06	025	Imperial County, CA	2005	NA	60592	50920	9672	16
CN0602700000000	06	027	Inyo County, CA	2005	NA	9282	8828	454	4.9
CN0602900000000	06	029	Kern County, CA	2005	NA	326748	299406	27342	8.4
CN0603100000000	06	031	Kings County, CA	2005	NA	53840	48757	5083	9.4
CN0603300000000	06	033	Lake County, CA	2005	NA	25985	23927	2058	7.9
CN0603500000000	06	035	Lassen County, CA	2005	NA	12247	11265	982	8
CN0603700000000	06	037	Los Angeles County, CA	2005	NA	4781604	4525223	256381	5.4
CN0603900000000	06	039	Madera County, CA	2005	NA	61881	57015	4866	7.9
CN0604100000000	06	041	Marin County, CA	2005	NA	129095	124094	5001	3.9
CN0604300000000	06	043	Mariposa County, CA	2005	NA	8790	8231	559	6.4
CN0604500000000	06	045	Mendocino County, CA	2005	NA	43841	41325	2516	5.7
CN0604700000000	06	047	Merced County, CA	2005	NA	98738	88880	9858	10
CN0604900000000	06	049	Modoc County, CA	2005	NA	4001	3683	318	7.9
CN0605100000000	06	051	Mono County, CA	2005	NA	8340	7937	403	4.8
CN0605300000000	06	053	Monterey County, CA	2005	NA	206565	191535	15030	7.3
CN0605500000000	06	055	Napa County, CA	2005	NA	71328	68214	3114	4.4
CN0605700000000	06	057	Nevada County, CA	2005	NA	49237	46884	2353	4.8
CN0605900000000	06	059	Orange County, CA	2005	NA	1585916	1526586	59330	3.7
CN0606100000000	06	061	Placer County, CA	2005	NA	164249	157181	7068	4.3
CN0606300000000	06	063	Plumas County, CA	2005	NA	10131	9278	853	8.4
CN0606500000000	06	065	Riverside County, CA	2005	NA	852578	806877	45701	5.4
CN0606700000000	06	067	Sacramento County, CA	2005	NA	664327	631504	32823	4.9
CN0606900000000	06	069	San Benito County, CA	2005	NA	24499	22526	1973	8.1
CN0607100000000	06	071	San Bernardino County, CA	2005	NA	851470	807163	44307	5.2
CN0607300000000	06	073	San Diego County, CA	2005	NA	1489799	1425706	64093	4.3
CN0607500000000	06	075	San Francisco County/city, CA	2005	NA	413337	392747	20590	5
CN0607700000000	06	077	San Joaquin County, CA	2005	NA	283588	261289	22299	7.9
CN0607900000000	06	079	San Luis Obispo County, CA	2005	NA	131479	125879	5600	4.3
CN0608100000000	06	081	San Mateo County, CA	2005	NA	360298	345017	15281	4.2
CN0608300000000	06	083	Santa Barbara County, CA	2005	NA	213206	203962	9244	4.3
CN0608500000000	06	085	Santa Clara County, CA	2005	NA	815361	772046	43315	5.3
CN0608700000000	06	087	Santa Cruz County, CA	2005	NA	142992	134029	8963	6.3
CN0608900000000	06	089	Shasta County, CA	2005	NA	81748	75826	5922	7.2
CN0609100000000	06	091	Sierra County, CA	2005	NA	1580	1449	131	8.3
CN0609300000000	06	093	Siskiyou County, CA	2005	NA	18648	16970	1678	9
CN0609500000000	06	095	Solano County, CA	2005	NA	208486	197341	11145	5.3
CN0609700000000	06	097	Sonoma County, CA	2005	NA	253410	242205	11205	4.4
CN0609900000000	06	099	Stanislaus County, CA	2005	NA	226627	207585	19042	8.4
CN0610100000000	06	101	Sutter County, CA	2005	NA	39999	36145	3854	9.6
CN0610300000000	06	103	Tehama County, CA	2005	NA	25199	23470	1729	6.9
CN0610500000000	06	105	Trinity County, CA	2005	NA	5170	4642	528	10.2
CN0610700000000	06	107	Tulare County, CA	2005	NA	183305	166019	17286	9.4
CN0610900000000	06	109	Tuolumne County, CA	2005	NA	25983	24312	1671	6.4
CN0611100000000	06	111	Ventura County, CA	2005	NA	415958	396225	19733	4.7
CN0611300000000	06	113	Yolo County, CA	2005	NA	92358	87237	5121	5.5
CN0611500000000	06	115	Yuba County, CA	2005	NA	25684	23368	2316	9
CN0800100000000	08	001	Adams County, CO	2005	NA	209927	197954	11973	5.7
CN0800300000000	08	003	Alamosa County, CO	2005	NA	8138	7694	444	5.5
CN0800500000000	08	005	Arapahoe County, CO	2005	NA	298738	283637	15101	5.1
CN0800700000000	08	007	Archuleta County, CO	2005	NA	5984	5676	308	5.1
CN0800900000000	08	009	Baca County, CO	2005	NA	2268	2181	87	3.8
CN0801100000000	08	011	Bent County, CO	2005	NA	2380	2231	149	6.3
CN0801300000000	08	013	Boulder County, CO	2005	NA	168036	160654	7382	4.4
CN0801400000000	08	014	Broomfield County/city, CO	2005	NA	24506	23324	1182	4.8
CN0801500000000	08	015	Chaffee County, CO	2005	NA	8179	7744	435	5.3
CN0801700000000	08	017	Cheyenne County, CO	2005	NA	1349	1308	41	3
CN0801900000000	08	019	Clear Creek County, CO	2005	NA	5837	5563	274	4.7
CN0802100000000	08	021	Conejos County, CO	2005	NA	3777	3484	293	7.8
CN0802300000000	08	023	Costilla County, CO	2005	NA	1346	1210	136	10.1
CN0802500000000	08	025	Crowley County, CO	2005	NA	1604	1478	126	7.9
CN0802700000000	08	027	Custer County, CO	2005	NA	2015	1920	95	4.7
CN0802900000000	08	029	Delta County, CO	2005	NA	15256	14492	764	5
CN0803100000000	08	031	Denver County/city, CO	2005	NA	302009	284892	17117	5.7
CN0803300000000	08	033	Dolores County, CO	2005	NA	978	910	68	7
CN0803500000000	08	035	Douglas County, CO	2005	NA	142904	137000	5904	4.1
CN0803700000000	08	037	Eagle County, CO	2005	NA	28407	27325	1082	3.8
CN0803900000000	08	039	Elbert County, CO	2005	NA	12895	12309	586	4.5
CN0804100000000	08	041	El Paso County, CO	2005	NA	289307	274069	15238	5.3
CN0804300000000	08	043	Fremont County, CO	2005	NA	19249	18067	1182	6.1
CN0804500000000	08	045	Garfield County, CO	2005	NA	29793	28683	1110	3.7
CN0804700000000	08	047	Gilpin County, CO	2005	NA	3337	3177	160	4.8
CN0804900000000	08	049	Grand County, CO	2005	NA	8387	8047	340	4.1
CN0805100000000	08	051	Gunnison County, CO	2005	NA	9008	8655	353	3.9
CN0805300000000	08	053	Hinsdale County, CO	2005	NA	597	580	17	2.8
CN0805500000000	08	055	Huerfano County, CO	2005	NA	3257	3005	252	7.7
CN0805700000000	08	057	Jackson County, CO	2005	NA	1135	1090	45	4
CN0805900000000	08	059	Jefferson County, CO	2005	NA	304514	289606	14908	4.9
CN0806100000000	08	061	Kiowa County, CO	2005	NA	877	841	36	4.1
CN0806300000000	08	063	Kit Carson County, CO	2005	NA	4341	4193	148	3.4
CN0806500000000	08	065	Lake County, CO	2005	NA	3925	3732	193	4.9
CN0806700000000	08	067	La Plata County, CO	2005	NA	29763	28637	1126	3.8
CN0806900000000	08	069	Larimer County, CO	2005	NA	165944	158693	7251	4.4
CN0807100000000	08	071	Las Animas County, CO	2005	NA	8121	7713	408	5
CN0807300000000	08	073	Lincoln County, CO	2005	NA	3025	2902	123	4.1
CN0807500000000	08	075	Logan County, CO	2005	NA	10613	10189	424	4
CN0807700000000	08	077	Mesa County, CO	2005	NA	70811	67350	3461	4.9
CN0807900000000	08	079	Mineral County, CO	2005	NA	459	436	23	5
CN0808100000000	08	081	Moffat County, CO	2005	NA	7832	7484	348	4.4
CN0808300000000	08	083	Montezuma County, CO	2005	NA	12859	12188	671	5.2
CN0808500000000	08	085	Montrose County, CO	2005	NA	19741	18813	928	4.7
CN0808700000000	08	087	Morgan County, CO	2005	NA	14282	13675	607	4.3
CN0808900000000	08	089	Otero County, CO	2005	NA	9323	8730	593	6.4
CN0809100000000	08	091	Ouray County, CO	2005	NA	2934	2833	101	3.4
CN0809300000000	08	093	Park County, CO	2005	NA	9638	9186	452	4.7
CN0809500000000	08	095	Phillips County, CO	2005	NA	2277	2198	79	3.5
CN0809700000000	08	097	Pitkin County, CO	2005	NA	11083	10641	442	4
CN0809900000000	08	099	Prowers County, CO	2005	NA	7437	7086	351	4.7
CN0810100000000	08	101	Pueblo County, CO	2005	NA	69326	64606	4720	6.8
CN0810300000000	08	103	Rio Blanco County, CO	2005	NA	3979	3840	139	3.5
CN0810500000000	08	105	Rio Grande County, CO	2005	NA	6520	6141	379	5.8
CN0810700000000	08	107	Routt County, CO	2005	NA	14515	13984	531	3.7
CN0810900000000	08	109	Saguache County, CO	2005	NA	3074	2844	230	7.5
CN0811100000000	08	111	San Juan County, CO	2005	NA	508	471	37	7.3
CN0811300000000	08	113	San Miguel County, CO	2005	NA	5210	4989	221	4.2
CN0811500000000	08	115	Sedgwick County, CO	2005	NA	1617	1567	50	3.1
CN0811700000000	08	117	Summit County, CO	2005	NA	16264	15649	615	3.8
CN0811900000000	08	119	Teller County, CO	2005	NA	12597	11975	622	4.9
CN0812100000000	08	121	Washington County, CO	2005	NA	2754	2650	104	3.8
CN0812300000000	08	123	Weld County, CO	2005	NA	111087	105019	6068	5.5
CN0812500000000	08	125	Yuma County, CO	2005	NA	6062	5872	190	3.1
CN0900100000000	09	001	Fairfield County, CT	2005	NA	451803	431973	19830	4.4
CN0900300000000	09	003	Hartford County, CT	2005	NA	437887	414699	23188	5.3
CN0900500000000	09	005	Litchfield County, CT	2005	NA	102186	97509	4677	4.6
CN0900700000000	09	007	Middlesex County, CT	2005	NA	89289	85484	3805	4.3
CN0900900000000	09	009	New Haven County, CT	2005	NA	429962	407064	22898	5.3
CN0901100000000	09	011	New London County, CT	2005	NA	144132	137659	6473	4.5
CN0901300000000	09	013	Tolland County, CT	2005	NA	80817	77419	3398	4.2
CN0901500000000	09	015	Windham County, CT	2005	NA	60903	57577	3326	5.5
CN1000100000000	10	001	Kent County, DE	2005	NA	72015	69394	2621	3.6
CN1000300000000	10	003	New Castle County, DE	2005	NA	270152	258145	12007	4.4
CN1000500000000	10	005	Sussex County, DE	2005	NA	90242	86926	3316	3.7
CN1100100000000	11	001	District of Columbia	2005	NA	315616	295484	20132	6.4
CN1200100000000	12	001	Alachua County, FL	2005	NA	123550	119924	3626	2.9
CN1200300000000	12	003	Baker County, FL	2005	NA	11112	10751	361	3.2
CN1200500000000	12	005	Bay County, FL	2005	NA	82406	79474	2932	3.6
CN1200700000000	12	007	Bradford County, FL	2005	NA	11709	11334	375	3.2
CN1200900000000	12	009	Brevard County, FL	2005	NA	260435	250969	9466	3.6
CN1201100000000	12	011	Broward County, FL	2005	NA	957619	922294	35325	3.7
CN1201300000000	12	013	Calhoun County, FL	2005	NA	5247	5050	197	3.8
CN1201500000000	12	015	Charlotte County, FL	2005	NA	66088	63430	2658	4
CN1201700000000	12	017	Citrus County, FL	2005	NA	51324	49126	2198	4.3
CN1201900000000	12	019	Clay County, FL	2005	NA	86643	83661	2982	3.4
CN1202100000000	12	021	Collier County, FL	2005	NA	145136	140087	5049	3.5
CN1202300000000	12	023	Columbia County, FL	2005	NA	28740	27757	983	3.4
CN1202700000000	12	027	DeSoto County, FL	2005	NA	13556	12937	619	4.6
CN1202900000000	12	029	Dixie County, FL	2005	NA	5550	5339	211	3.8
CN1203100000000	12	031	Duval County, FL	2005	NA	421549	404681	16868	4
CN1203300000000	12	033	Escambia County, FL	2005	NA	135677	130436	5241	3.9
CN1203500000000	12	035	Flagler County, FL	2005	NA	29981	28668	1313	4.4
CN1203700000000	12	037	Franklin County, FL	2005	NA	5136	4950	186	3.6
CN1203900000000	12	039	Gadsden County, FL	2005	NA	20488	19692	796	3.9
CN1204100000000	12	041	Gilchrist County, FL	2005	NA	7489	7251	238	3.2
CN1204300000000	12	043	Glades County, FL	2005	NA	4295	4085	210	4.9
CN1204500000000	12	045	Gulf County, FL	2005	NA	6321	6110	211	3.3
CN1204700000000	12	047	Hamilton County, FL	2005	NA	4616	4429	187	4.1
CN1204900000000	12	049	Hardee County, FL	2005	NA	11378	10834	544	4.8
CN1205100000000	12	051	Hendry County, FL	2005	NA	17375	16088	1287	7.4
CN1205300000000	12	053	Hernando County, FL	2005	NA	57093	54294	2799	4.9
CN1205500000000	12	055	Highlands County, FL	2005	NA	39983	38293	1690	4.2
CN1205700000000	12	057	Hillsborough County, FL	2005	NA	570252	548804	21448	3.8
